p1,,p2,,p3,,p4,,p5,,p6,,p7,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
87.1069182389937,72.92110874200426,98.74213836477986,45.62899786780385,100,65.4584221748401,66.66666666666666,62.47334754797442,12.264150943396231,62.68656716417912,38.36477987421384,81.2366737739872,42.76729559748429,61.620469083155655
78.30188679245282,46.26865671641792,90.56603773584908,40.93816631130065,88.67924528301884,41.57782515991471,62.578616352201266,60.12793176972283,20.125786163522008,65.88486140724947,27.358490566037744,48.40085287846482,37.7358490566038,55.223880597014926
21.69811320754718,46.69509594882729,86.47798742138363,38.37953091684436,74.52830188679246,41.36460554371003,50.62893081761004,65.03198294243072,23.58490566037736,68.01705756929638,22.641509433962256,47.12153518123668,33.64779874213838,52.452025586353955
5.031446540880523,51.1727078891258,70.75471698113205,36.886993603411526,67.9245283018868,41.791044776119406,39.622641509433976,73.34754797441366,26.729559748427675,69.08315565031984,14.779874213836479,47.97441364605544,27.358490566037744,48.614072494669514
-6.289308176100619,56.28997867803838,59.748427672955984,32.19616204690831,62.26415094339623,41.36460554371003,32.38993710691827,73.77398720682302,32.7044025157233,73.56076759061835,1.257861635220138,56.929637526652456,22.32704402515722,44.136460554371
-11.635220125786162,54.157782515991485,44.0251572327044,34.32835820895524,55.660377358490564,40.93816631130065,24.213836477987428,73.34754797441366,38.67924528301887,73.13432835820896,-5.345911949685529,60.7675906183369,15.094339622641513,44.77611940298509
,,35.22012578616355,35.82089552238807,47.79874213836479,41.36460554371003,18.8679245283019,72.0682302771855,45.91194968553458,79.317697228145,-10.06289308176099,59.061833688699366,4.402515723270454,47.97441364605544
,,22.32704402515722,37.52665245202559,40.56603773584905,41.791044776119406,11.949685534591197,72.49466950959489,6.289308176100633,55.01066098081024,,,3.459119496855351,53.30490405117271
,,10.062893081761018,38.16631130063966,36.792452830188694,42.0042643923241,7.547169811320771,73.34754797441366,2.5157232704402475,52.23880597014926,,,-6.289308176100619,56.50319829424308
,,-0.943396226415075,72.70788912579958,33.96226415094341,44.349680170575695,2.201257861635213,74.84008528784649,-5.974842767295584,56.716417910447774,,,-11.006289308176093,53.94456289978679
,,-2.201257861635213,77.61194029850748,23.270440251572353,46.48187633262262,-0.6289308176100405,73.98720682302772,-11.006289308176093,56.28997867803838,,,,
,,,,11.320754716981128,47.97441364605544,-2.5157232704402475,66.95095948827293,,,,,,
,,,,3.7735849056603854,53.518123667377395,-8.176100628930797,64.60554371002132,,,,,,
,,,,-3.773584905660371,60.12793176972283,,,,,,,,
,,,,-10.06289308176099,59.488272921108745,,,,,,,,
