p1,,p2,,p3,,p4,,p5,,p6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-93.73040752351095,54.38370173316133,-31.661442006269596,50.46487223533029,49.84326018808778,49.572558167514416,42.63322884012541,42.73415724779595,29.7805642633229,38.44236052161939,11.912225705329178,69.96076491701814
-85.26645768025077,55.68106623176103,-22.25705329153604,55.602195025766825,40.75235109717866,52.11180996049755,32.288401253918494,40.15346465166331,22.57053291536053,42.05172079593079,10.658307210031353,63.774722446878904
-73.35423197492162,65.72778739531184,-12.225705329153584,59.674756535281496,33.22884012539183,51.456109510664334,24.764890282131688,39.2845445856254,13.793103448275872,45.870958686192864,5.3291536050156765,62.69726156499188
-71.15987460815045,66.3721250442815,0.9404388714733614,68.23161398560266,24.451410658307225,51.863833541651346,14.733542319749205,42.88788925947959,3.4482758620689538,50.7529526572244,-2.507836990595621,66.51850465540636
-67.39811912225704,67.44624392591453,14.733542319749205,55.89428584796572,17.868338557993724,55.04809138365494,12.225705329153612,47.5733736155764,2.821316614420084,57.5746435756729,-10.971786833855788,60.95674783271283
-61.44200626959247,67.24572391067501,27.27272727272728,50.803751061085066,9.717868338557992,58.86866607401862,4.3887147335423435,48.835981311534596,1.8808777429467227,63.75600724545655,-21.94357366771159,55.816083042022306
-57.05329153605014,64.6964461169299,36.363636363636374,51.46279351117232,4.07523510971788,62.2681487323793,2.507836990595621,57.14753594321274,-4.388714733542315,65.44839617407811,-31.97492163009403,49.61132537046073
-39.81191222570531,78.16604394061933,44.514106583072106,52.97270922592591,-1.2539184952977962,72.49132750934089,-1.5673981191222595,66.52050985555874,,,,
-20.376175548589345,77.99426512756415,52.03761755485894,52.98875082714507,,,-3.4482758620689538,68.2222563848915,,,,
-10.34482758620689,80.57428932364598,,,,,,,,,,
-7.836990595611297,82.71183268609929,,,,,,,,,,
-3.1347962382444905,85.06727446511286,,,,,,,,,,
2.1943573667711576,80.38780570947324,,,,,,,,,,
3.761755485893417,73.35490037497243,,,,,,,,,,
10.031347962382455,50.55376944208648,,,,,,,,,,
21.943573667711604,39.91818783378227,,,,,,,,,,
35.73667711598745,42.50623283047369,,,,,,,,,,
40.75235109717866,38.252534907192654,,,,,,,,,,
