p1,,p2,,p3,,p4,,p5,
X,Y,X,Y,X,Y,X,Y,X,Y
-84.15915915915909,34.5092024539877,-77.27727727727722,33.23108384458075,-73.85371482593698,31.550594561841976,-10.856690023356663,47.67500757403617,-14.332387943498986,34.213341664773125
-43.493493493493446,40.0477164280845,-40.61735346457564,35.98850640006056,-69.94355466577682,32.88196811330755,5.652875097319594,44.42053889267588,-12.811770103436743,36.5802279784897
-31.60660660660656,43.45603271983637,-3.688063063062998,46.19570362796331,-63.20938994550099,36.876088767704275,16.514431097764486,41.16607021131557,-8.68437882326765,38.20746231916986
-24.099099099099078,47.29038854805724,6.304568457346306,40.42641823827914,-49.74106050494933,40.13055744906457,28.027680458236034,45.45605165492688,-2.8191385830274385,41.905722184352
-12.212212212212137,54.95910020449894,20.859053497942426,33.02989850791482,-37.35888666444217,42.20158297356657,33.8929206984763,48.4146595470726,0.22209709709713366,40.57434863288644
-4.704704704704682,56.66325835037489,33.023996218440686,30.367151404983687,-15.201312423534603,48.85845073089446,,,3.915026137248418,39.242975081420866
3.741241241241255,53.254942058623016,47.57848125903689,29.47956903733997,-6.077605383160886,49.450172309323605,,,10.43195973751537,39.39090547602814
7.807807807807848,46.225289706884766,57.35388165943726,33.473689691736695,3.915026137248418,48.26672915246532,,,21.94520909798692,43.385026130424876
21.57157157157161,38.34355828220856,69.73605549994443,32.58610732409298,10.214728617506438,43.53295652503215,,,27.593218218218283,40.27848784367187
33.458458458458495,36.42638036809814,81.0320737404071,32.88196811330755,16.948893337782266,44.12467810346131,,,35.19630741852967,42.497443762781145
39.71471471471477,34.93524199045669,88.41793182070967,35.98850640006056,21.94520909798692,46.047773233356025,,,,
46.59659659659661,33.44410361281524,91.89362974085202,37.76367113534799,,,,,,
55.98098098098103,36.21336059986365,99.0622567011456,40.13055744906457,,,,,,
