p1,,p2,,p3,,p4,,p5,,p6,,p7,,p8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-46.36454151276696,68.4759916492693,98.62512713452173,66.2781257248898,91.63362061274381,46.851078636047305,67.40757989400996,73.09209000231964,-20.364755634066668,57.43446996056598,-13.7198579662045,50.62050568313616,-23.993665578216692,56.27464625376942,-16.950859161715073,59.02922755741126
-3.95374979926126,84.96868475991648,91.14738682797139,65.98816979819067,80.71611084345949,53.375086986778,63.791606445051144,67.72790535838551,-8.369501989543721,47.8659243794943,-1.7888407115964355,61.928786824402685,-16.5208322181182,58.15935977731384,-13.350944810234964,69.61261888192993
4.766393662009563,84.2553931802366,83.88287564905522,65.8431918348411,68.33008582695436,51.05543957318487,60.168941705476186,64.53839016469496,-6.0337954784718875,52.650197170030154,9.98961511696379,53.375086986778,-11.861017433042448,71.49733240547437,-11.863247863247821,72.22222222222221
11.18557179308749,81.35583391324518,52.4668201202648,67.72790535838551,55.50823474831827,51.49037346323358,57.016005567153826,47.575968452795166,-2.3999785878700095,52.21526327998144,18.537515836054467,53.085131060078865,-5.018057562942687,69.75759684527951,-4.803936263226433,69.61261888192993
19.953839016469516,78.89120853630249,33.8779687026034,67.43794943168638,49.51863747479618,53.66504291347715,52.328979533572465,43.081651588958465,6.147029959138536,52.21526327998144,24.095747907856463,52.21526327998144,-0.980532805167428,77.00649501275805,4.191834841104168,62.65367664115053
31.712220973181303,76.86151704940849,14.831879092839444,76.86151704940849,40.7579537141124,53.66504291347715,48.48594828970613,42.06680584551147,13.62387809360672,52.795175133379715,26.84051531859467,62.94363256784968,1.5929375657977118,73.96195778241707,10.390646467890747,61.928786824402685
39.40363649340688,77.15147297610761,12.036703959459743,82.51565762004174,23.656799243438115,55.98469032707027,40.59736273932518,36.41266527487821,23.452937922666536,52.795175133379715,,,3.764484413753763,62.65367664115053,13.419124600753008,49.8956158663883
48.39227022108025,72.51217814892135,-1.655460985314818,88.02482022732545,17.242081972770933,57.43446996056598,23.922666523919133,39.022268615170475,25.172599611013,49.460681976339586,,,11.71284549363881,48.8807701229413,40.54383241439612,53.81002087682671
60.12522527345078,78.7462305729529,,,7.6293738736327725,56.564602180468555,11.285495066288405,48.8807701229413,31.37453384008711,47.72094641614473,,,24.565476509109118,38.4423567617722,51.904751708509565,42.06680584551147
71.4477811680317,79.47112038970076,,,3.783666113520013,56.41962421711898,3.9790517995110974,62.3637207144514,37.15402458826259,44.38645325910461,,,34.82367110968366,37.86244490837392,57.01689773923596,47.286012526096016
80.42793926092466,77.58640686615634,,,-1.3311564334528612,52.07028531663187,-4.803490177185353,69.46764091858037,42.696643648626974,48.590814196242164,,,40.8128222971647,35.83275342147992,60.59807647699091,63.95847831129668
85.5490070124726,79.90605427974947,,,-6.032903306389727,52.360241243331004,-11.435005263815256,71.93226629552308,49.29604054029946,56.564602180468555,,,48.91106828685119,42.79169566225933,,
88.52752350873442,84.11041521688702,,,-9.009635458487196,47.575968452795166,-16.950413075673993,58.8842495940617,,,,,52.54265474724767,43.081651588958465,,
91.9440964973324,84.83530503363488,,,,,,,,,,,56.802776439519675,47.43099048944559,,
,,,,,,,,,,,,60.38172474706923,64.82834609139411,,
